parameter_1,parameter_2
-0.35258943,-0.21419387
-0.15687506,-0.053536553
0.08893342,0.19821964
-0.17150658,-0.42949572
-0.028781116,-0.23900853
-0.022585362,0.11238253
-0.074046604,0.32023042
0.14887498,-0.011811379
-0.40330654,-0.33574003
0.025862947,0.22091556
0.033060595,-0.30424812
-0.17717448,0.45782647
0.06690349,-0.08743954
-0.13961667,0.08450861
0.20982774,0.39819682
0.11075476,-0.14517017
-0.23804533,0.05054605
-0.21100989,0.09902892
-0.0025250018,0.0686176
0.042441547,0.14212723
-0.123721115,0.22067755
-0.16561565,0.055222727
0.01607117,0.55827045
-0.42929864,-0.31131268
-0.25135148,0.23865269
0.13514112,0.083248764
-0.15234856,-0.044117246
0.02064041,-0.04487822
-0.20062117,0.20984977
0.23925738,0.8060933
-0.44322717,-0.23247929
0.30605894,-0.079843864
-0.22813173,0.24919355
0.14754204,0.33190632
-0.43137372,0.61753243
-0.20663679,0.11851312
-0.46517235,-0.07944472
-0.20813818,-0.06825049
-0.33942804,0.29278976
-0.13229907,0.22365367
-0.12171728,0.19711079
-0.288297,0.043681115
0.08740926,-0.045968663
0.13158678,0.123567164
-0.15585147,0.55834
-0.52160245,0.032362394
-0.3345083,-0.1703984
-0.09334603,0.20226188
0.26718307,-0.2606613
-0.023796812,0.15972765
-0.68520063,-0.3358615
-0.1518804,0.10608153
-0.04562956,0.060674153
-0.025263585,0.14508902
0.0013309419,-0.15002123
0.07386178,-0.16375472
-0.14977668,-0.5010154
-0.11714822,0.035882104
0.11438164,0.121558085
-0.30688915,0.03091616
-0.24008359,-0.060209733
0.3288796,-0.04653022
-0.07313854,0.3039352
0.10562861,0.35369036
-0.2983728,-0.050190207
-0.28080866,0.16995585
0.03563769,0.14788003
0.3353362,-0.19423437
-0.11813454,0.06950922
-0.23366436,-0.2346691
-0.12367259,-0.18762675
-0.17075214,0.098441
-0.1589016,0.06994267
-0.046293035,0.3038943
-0.036316395,0.12992758
-0.14580324,0.01711242
-0.05786697,-0.12917784
-0.5257741,0.072702065
-0.2583289,0.11385544
-0.06564986,0.12965141
0.11541636,-0.17813113
-0.033402957,0.019484902
0.1224177,-0.06803432
0.06934559,0.18173796
-0.03062059,0.09118441
-0.12768817,0.12408294
-0.17106435,-0.19772476
-0.046997115,-0.2687242
-0.11563424,-0.036648933
-0.45001978,-0.035818953
0.1408912,0.07288109
0.25100988,0.21821474
-0.34203923,-0.11771865
0.22803526,0.105115555
0.04825279,-0.17887059
-0.36679387,-0.22394072
-0.22598107,0.16276962
-0.009861372,0.13171393
-0.062492963,0.23937126
-0.16503868,0.27192736
-0.11747919,-0.20074694
-0.013184212,0.17642178
0.047244996,-0.22625573
0.034983665,-0.07886629
0.16101946,0.065282494
0.11457312,0.23138367
-0.38116968,0.26414496
-0.21145222,-0.24341546
0.11275011,0.3304984
-0.24973506,0.16984943
-0.036511548,0.036018867
-0.33828944,0.017895227
-0.17761621,0.39482722
-0.05799759,0.12843928
-0.13321264,0.18605737
-0.1637424,-0.25388741
-0.13259856,-0.075956926
-0.2178751,0.2361199
-0.29917496,0.23103741
0.1569512,-0.35031182
-0.43127733,-0.3490983
-0.08381273,-0.19770135
0.22122632,0.018752083
0.028145894,0.005653221
-0.115160376,0.27568072
0.10192792,-0.06284644
-0.29554814,0.07584719
0.32464767,0.13077685
-0.109647945,-0.13573293
-0.21165106,-0.037355307
0.029991314,-0.21500923
-0.13290134,-6.362423e-05
-0.119976535,0.35530585
0.032626927,-0.064486474
-0.18270612,-0.25325623
0.27823204,0.5053414
-0.15315852,0.20164287
0.028858706,0.10347587
-0.5612367,0.16289234
-0.22056192,-0.14963967
-0.10609749,0.30547506
-0.011694819,-0.00095244497
-0.35932016,-0.027327757
0.10941306,-0.21298514
0.024108239,0.22052427
-0.14213873,-0.1201476
-0.1188783,-0.17566656
-0.087317675,-0.06585188
-0.28279984,0.2268381
-0.24242586,0.33299768
0.22625457,-0.095251486
0.12016657,-0.053156275
-0.24019995,-0.004872229
-0.21011513,0.21945038
-0.07678597,-0.19610798
-0.12692721,-0.18391988
-0.3687201,0.15046363
-0.37577397,-0.26286772
0.24430244,0.036056384
-0.19445169,-0.013671469
-0.12974077,0.03127394
-0.009534873,0.29534477
0.33184803,0.26880693
0.123800725,-0.053456273
-0.37869728,0.33071584
-0.04633484,0.16207573
-0.10409315,-0.4564401
0.22697033,-0.22910799
0.04321024,0.9222573
-0.1286661,0.109522104
-0.015279904,-0.07943973
-0.32311714,0.34444234
0.33422065,-0.24505244
-0.62620276,-0.41912988
0.10250875,-0.11184007
0.33730394,-0.20334171
0.020159006,0.38760325
0.14200397,0.32218635
-0.07511242,0.40556988
0.0028410405,0.334335
0.09441629,0.05804447
0.07205798,-0.17344785
-0.2993346,-0.027695987
-0.17561892,0.14506261
0.010725312,0.23980789
-0.01376158,0.37051055
0.00637684,-0.07579017
-0.10859226,0.19045776
-0.17043585,-0.08218612
-0.20895621,-0.24097134
-0.13975564,0.16738597
-0.14146332,-0.008948147
-0.035058565,0.2217684
0.18184318,0.25266415
0.021125376,-0.3002889
-0.03098058,0.20896406
0.22343524,0.9606035
0.1491989,-0.306876
-0.25713956,0.17191839
0.17599536,-0.099747434
-0.27178532,0.09733529
-0.06363006,-0.4555672
0.2097931,-0.068843275
0.27474672,-0.18548115
0.27614015,-0.22880252
0.070207015,0.31116545
-0.2602278,0.028818563
0.39220238,0.44265807
-0.10349154,0.26254192
-0.33922035,0.4397048
-0.16328846,-0.018435344
0.06662084,-0.100399256
-0.31366384,0.1041957
0.049325615,0.4571503
0.16546054,-0.08841424
0.114868104,-0.2940195
0.4035527,0.31824878
-0.20939632,0.14490333
0.20134823,0.14051071
-0.21561062,0.0018848293
-0.039204944,0.06800927
-0.020474307,-0.12505937
-0.049548674,-0.013413705
0.2524578,-0.011159837
-0.36897296,0.037738096
